participant_id,age,gender,testing_mode,tested_sequence,tested_ondemand,tested_both,tech_item_1,tech_item_2,tech_item_3,tech_item_4,tech_item_5,tech_item_6,tech_item_7,tech_self_assess_mean,tech_dof_correct,tech_composite,godspeed_relaxed,godspeed_calm,godspeed_bold,godspeed_safe,godspeed_safety_mean,safety_speed,safety_comfort,safety_awareness,safety_predictable,safety_perception_mean,seq_attention,seq_timing,seq_trust,seq_safety,ond_attention,ond_understanding,ond_control,ond_timing,ond_exhaustion,efficiency_pref,daily_pref,sus_raw_1,sus_raw_2,sus_raw_3,sus_raw_4,sus_raw_5,sus_raw_6,sus_raw_7,sus_raw_8,sus_raw_9,sus_score_1,sus_score_2,sus_score_3,sus_score_4,sus_score_5,sus_score_6,sus_score_7,sus_score_8,sus_score_9,sus_sum,sus_total,learnability,pref_category,prefers_ondemand,prefers_sequence
10,27.0,male,"First On Demand Mode, then Sequence Mode",True,True,True,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.2857142857142856,1,3.0999999999999996,4.0,3.0,1.0,4.0,3.0,3.0,4.0,3.0,4.0,3.5,4.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,on-demand mode,on-demand (voice commands for each step),3.0,1.0,5.0,1.0,4.0,3.0,5.0,1.0,5.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,31.0,86.11111111111111,100.0,On-demand,1,0
11,26.0,female,"First Sequence Mode, then On Demand Mode",True,True,True,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.2857142857142858,1,2.4,3.0,4.0,3.0,3.0,3.25,4.0,2.0,2.0,3.0,2.75,4.0,3.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0,no difference,on-demand (voice commands for each step),1.0,1.0,5.0,2.0,4.0,1.0,5.0,3.0,3.0,0.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,26.0,72.22222222222221,75.0,On-demand,1,0
12,22.0,male,"First Sequence Mode, then On Demand Mode",True,True,True,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.4285714285714286,0,1.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,5.0,4.5,4.0,5.0,3.0,2.0,2.0,3.0,3.0,5.0,1.0,on-demand mode,on-demand (voice commands for each step),3.0,1.0,4.0,3.0,4.0,2.0,5.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,26.0,72.22222222222221,75.0,On-demand,1,0
13,25.0,male,"First On Demand Mode, then Sequence Mode",True,True,True,2.0,3.0,4.0,4.0,1.0,2.0,1.0,2.4285714285714284,1,3.1999999999999997,3.0,3.0,3.0,4.0,3.25,4.0,4.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,1.0,3.0,4.0,2.0,2.0,on-demand mode,on-demand (voice commands for each step),3.0,1.0,5.0,3.0,4.0,1.0,5.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,27.0,75.0,75.0,On-demand,1,0
14,24.0,male,"First Sequence Mode, then On Demand Mode",True,True,True,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.571428571428571,1,4.699999999999999,5.0,5.0,4.0,5.0,4.75,5.0,5.0,3.0,5.0,4.5,5.0,2.0,5.0,5.0,3.0,4.0,5.0,4.0,1.0,no difference,on-demand (voice commands for each step),3.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,32.0,88.88888888888889,100.0,On-demand,1,0
15,29.0,female,"First On Demand Mode, then Sequence Mode",True,True,True,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1,2.9,3.0,3.0,3.0,4.0,3.25,4.0,4.0,4.0,5.0,4.25,4.0,4.0,4.0,5.0,2.0,3.0,5.0,4.0,4.0,on-demand mode,sequence (one command for the whole process),1.0,1.0,5.0,1.0,4.0,2.0,4.0,3.0,4.0,0.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,26.0,72.22222222222221,75.0,Sequence,0,1
16,25.0,female,Sequence Mode,True,False,False,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.4285714285714286,1,2.5,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,4.5,5.0,5.0,5.0,4.0,,,,,,nan,nan,5.0,3.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,4.0,2.0,4.0,0.0,4.0,1.0,4.0,4.0,4.0,27.0,75.0,100.0,Other,0,0
17,26.0,male,"First On Demand Mode, then Sequence Mode",True,True,True,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.857142857142857,1,4.8999999999999995,5.0,5.0,3.0,5.0,4.5,5.0,5.0,4.0,5.0,4.75,5.0,3.0,5.0,5.0,4.0,2.0,5.0,4.0,4.0,on-demand mode,on-demand (voice commands for each step),4.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,34.0,94.44444444444444,100.0,On-demand,1,0
18,23.0,female,"First Sequence Mode, then On Demand Mode",True,True,True,4.0,5.0,4.0,3.0,3.0,4.0,2.0,3.5714285714285716,1,4.0,4.0,4.0,3.0,4.0,3.75,4.0,4.0,3.0,5.0,4.0,4.0,2.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,on-demand mode,on-demand (voice commands for each step),3.0,2.0,5.0,2.0,3.0,2.0,5.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,26.0,72.22222222222221,75.0,On-demand,1,0
19,23.0,female,"First On Demand Mode, then Sequence Mode",True,True,True,4.0,4.0,5.0,3.0,3.0,3.0,2.0,3.4285714285714284,1,3.9,5.0,5.0,2.0,5.0,4.25,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,on-demand mode,on-demand (voice commands for each step),5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,36.0,100.0,100.0,On-demand,1,0
20,35.0,male,Sequence Mode,True,False,False,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.428571428571429,1,4.6,3.0,4.0,3.0,4.0,3.5,2.0,4.0,2.0,5.0,3.25,4.0,5.0,3.0,4.0,,,,,,nan,nan,3.0,2.0,5.0,1.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,28.0,77.77777777777777,75.0,Other,0,0
21,24.0,male,Sequence Mode,True,False,False,4.0,3.0,5.0,5.0,3.0,2.0,3.0,3.5714285714285716,1,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,,,,,,nan,nan,3.0,2.0,4.0,3.0,3.0,2.0,5.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,25.0,69.44444444444444,87.5,Other,0,0
22,24.0,male,"First Sequence Mode, then On Demand Mode",True,True,True,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.7142857142857144,1,4.1,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,3.75,4.0,5.0,4.0,5.0,2.0,4.0,4.0,3.0,4.0,on-demand mode,on-demand (voice commands for each step),3.0,1.0,5.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,25.0,69.44444444444444,62.5,On-demand,1,0
23,21.0,female,"First On Demand Mode, then Sequence Mode",True,True,True,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.142857142857143,1,3.0,4.0,4.0,2.0,5.0,3.75,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,on-demand mode,on-demand (voice commands for each step),3.0,2.0,4.0,5.0,4.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,0.0,3.0,4.0,2.0,3.0,3.0,23.0,63.888888888888886,62.5,On-demand,1,0
24,23.0,male,On Demand Mode,False,True,False,4.0,4.0,4.0,4.0,5.0,1.0,5.0,3.857142857142857,1,4.199999999999999,4.0,4.0,3.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,,,,,,,,,,nan,nan,1.0,1.0,5.0,1.0,5.0,1.0,5.0,4.0,3.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,27.0,75.0,75.0,Other,0,0
